seq,file_name,source_cell,source_output,result_name,description
1,01_baseline_confusion_matrix.csv,12,0,baseline_confusion_matrix,Baseline sklearn confusion matrix (from pasted output block)
2,02_baseline_classification_report.csv,12,0,baseline_classification_report,Baseline sklearn classification report (from pasted output block)
3,03_global_if_summary.csv,15,0,global_if_summary,Global individual fairness local-pair summary metrics (from pasted output block)
4,04_within_group_if_marital_status.csv,17,0,within_group_if_marital_status,Within-group IF table for marital-status (from pasted output block)
5,05_within_group_if_sex.csv,17,0,within_group_if_sex,Within-group IF table for sex (from pasted output block)
6,06_within_group_if_intersection_marital_status_x_sex.csv,17,0,within_group_if_intersection_marital_status_x_sex,Within-group IF table for marital-status x sex intersection (from pasted output block)
7,07_data_skew_full_marital_status.csv,20,0,data_skew_full_marital_status,Counts and positive rate by marital-status (full dataset; from pasted output block)
8,08_data_skew_full_sex.csv,20,0,data_skew_full_sex,Counts and positive rate by sex (full dataset; from pasted output block)
9,09_data_skew_full_marital_status_x_sex.csv,20,0,data_skew_full_marital_status_x_sex,Counts and positive rate by marital-status x sex (full dataset; from pasted output block)
10,10_data_skew_test_marital_status.csv,20,0,data_skew_test_marital_status,Counts and positive rate by marital-status (test split; from pasted output block)
11,11_data_skew_test_sex.csv,20,0,data_skew_test_sex,Counts and positive rate by sex (test split; from pasted output block)
12,12_data_skew_test_marital_status_x_sex.csv,20,0,data_skew_test_marital_status_x_sex,Counts and positive rate by marital-status x sex (test split; from pasted output block)
13,13_pair_coverage_marital_status.csv,20,0,pair_coverage_marital_status,Local IF pair coverage summary for marital-status (from pasted output block)
14,14_pair_coverage_sex.csv,20,0,pair_coverage_sex,Local IF pair coverage summary for sex (from pasted output block)
15,15_pair_coverage_marital_status_x_sex.csv,20,0,pair_coverage_marital_status_x_sex,Local IF pair coverage summary for marital-status x sex (from pasted output block)
16,16_sex_balanced_undersampling_metadata.csv,23,0,sex_balanced_undersampling_metadata,Sex-balanced undersampling headline metadata (from pasted output block)
17,17_sex_balanced_undersampling_seed_selection.csv,23,0,sex_balanced_undersampling_seed_selection,Per-seed selection details for sex-balanced undersampling (from pasted output block)
18,18_sex_balanced_undersampling_baseline_vs_runs.csv,23,0,sex_balanced_undersampling_baseline_vs_runs,Baseline vs 3 sex-balanced undersampling runs table (from pasted output block)
19,19_sex_balanced_undersampling_runs_summary_mean_std.csv,23,0,sex_balanced_undersampling_runs_summary_mean_std,Mean/std summary over sex-balanced undersampling runs (from pasted output block)
20,20_proxy_signal_check_metadata.csv,26,0,proxy_signal_check_metadata,Proxy signal check metadata (question + interpretation; from saved notebook output)
21,21_proxy_sex_train_distribution.csv,26,0,proxy_sex_train_distribution,Train distribution for sex in proxy probe section (from saved notebook output)
22,22_proxy_sex_test_distribution.csv,26,0,proxy_sex_test_distribution,Test distribution for sex in proxy probe section (from saved notebook output)
23,23_proxy_probe_results_sex.csv,26,0,proxy_probe_results_sex,Proxy probe results table for sex (from saved notebook output)
24,24_proxy_probe_warning_stderr.csv,26,1,proxy_probe_warning_stderr,Captured stderr warning from proxy probe cell (from saved notebook output)
25,25_proxy_marital_status_train_distribution.csv,26,2,proxy_marital_status_train_distribution,Train distribution for marital-status in proxy probe section (from pasted output block)
26,26_proxy_marital_status_test_distribution.csv,26,2,proxy_marital_status_test_distribution,Test distribution for marital-status in proxy probe section (from pasted output block)
27,27_proxy_probe_results_marital_status.csv,26,2,proxy_probe_results_marital_status,Proxy probe results table for marital-status (from pasted output block)
28,28_proxy_probe_results_combined.csv,26,2,proxy_probe_results_combined,Combined proxy probe results table (sex + marital-status; from pasted output block)
29,29_method_sensitivity_metadata.csv,29,0,method_sensitivity_metadata,Method sensitivity fixed-settings metadata (from pasted output block)
30,30_method_sensitivity_k_line_summaries.csv,29,0,method_sensitivity_k_line_summaries,Per-k one-line method sensitivity summaries (from pasted output block)
31,31_method_sensitivity_summary.csv,29,0,method_sensitivity_summary,Detailed method sensitivity summary table (from pasted output block)
